"","EBIT","Operating.Cash.Flow","Operating.Income","EBITDA","Free.Cash.Flow","Gross.Profit","Net.Income.Com","Consolidated.Income","Stock.based.compensation","Dividends.per.Share.Growth","Days.Payables.Outstanding","daysOfInventoryOutstanding"
"294",2.514e+09,2.428e+09,2.761e+09,3.008e+09,2.117e+09,1.495e+10,1.65e+09,1.67e+09,1.93e+08,0.1049,54.5425,105.3983
"295",6.986e+09,6.439e+09,7.207e+09,8.474e+09,5.124e+09,1.6083e+10,5.349e+09,5.363e+09,3.02e+08,0.1574,25.2431,55.9225
"296",1293272000,1161881000,1283619000,1350251000,1091251000,2295375000,993004000,993004000,57111000,0,23.849,46.4556
"297",1.0002e+10,8.391e+09,9.115e+09,1.0229e+10,8.153e+09,1.2254e+10,6.963e+09,6.967e+09,0,0.1811,5.7418,2.0434
"298",713200000,1409800000,909500000,1597100000,455300000,1498400000,4.7e+08,469900000,27500000,-0.8333,29.7298,31.9227
"299",4.745e+09,6.158e+09,5.571e+09,7.235e+09,2.634e+09,1.1036e+10,2.78e+09,3.606e+09,0,0.2105,39.5365,22.001
"300",8.728e+09,1.0922e+10,8.299e+09,1.3247e+10,8.307e+09,2.8785e+10,6.22e+09,6.193e+09,3.48e+08,0.0529,28.6346,61.0232
"301",1.653e+09,3.234e+09,1.667e+09,4.094e+09,4.81e+08,5.165e+09,1.096e+09,1.096e+09,5.3e+07,0,81.7396,59.8352
"302",1.1098e+10,7.305e+09,1.1237e+10,1.2942e+10,5.44e+09,4.0107e+10,8.222e+09,8.883e+09,9.2e+08,0.2222,1634.1046,485.0467
"303",3.6474e+10,4.3884e+10,3.5058e+10,4.6735e+10,3.2252e+10,7.2007e+10,1.6571e+10,1.6571e+10,3.94e+09,0.0784,28.4995,87.5821
"304",1.321e+09,1.075e+09,1.255e+09,1.681e+09,8.78e+08,3.48e+09,9.66e+08,9.69e+08,7.3e+07,0.1036,29.4267,64.2714
"305",2426188000,2089852000,2800313000,2605193000,1992176000,5796302000,1836028000,1918080000,0,0.1833,0,0
"306",686369000,565005000,686369000,771060000,430469000,1684378000,512611000,512611000,17579000,0,24.4496,66.5856
"307",1.4645e+10,1.74e+10,1.4994e+10,1.9404e+10,8.521e+09,1.7891e+10,1.4135e+10,1.4138e+10,1.98e+08,0,52.5323,65.7915
"308",840700000,2341700000,905600000,2950600000,2089600000,4001600000,352500000,352500000,-3300000,0,51.6189,91.9691
"309",5.28e+08,1.14e+09,5.28e+08,5.28e+08,1.14e+09,1.572e+09,3.95e+08,3.95e+08,2.5e+07,0,0,0
"310",3.42e+08,2.336e+09,-4.92e+08,2.276e+09,-9.43e+08,3.789e+09,-6.6e+07,1.4e+07,6.2e+07,0.075,88.3584,45.0943
"311",1239714000,2075171000,1219061000,1806686000,508375000,2678050000,954843000,954843000,115983000,0,9.6184,3.3304
"312",1.214e+09,1.028e+09,1.028e+09,1.424e+09,9.17e+08,2.526e+09,4.58e+08,4.58e+08,6.9e+07,0.1644,26.1994,32.7706
"313",9.712e+09,6.593e+09,4.28e+09,1.3623e+10,5.83e+08,9.665e+09,6.638e+09,5.776e+09,0,0.1292,52.0649,64.7866
"314",9.34e+08,1.827e+09,7.9e+08,2.149e+09,7.95e+08,3.16e+09,3.41e+08,3.8e+08,7.6e+07,1.24,15.2482,12.7823
"315",1646951000,-2680479000,1605226000,9303408000,-2893011000,5826803000,1211242000,1211242000,320657000,0,121.3021,0
"316",122700000,540100000,124700000,722300000,-1278100000,3353200000,-65600000,-50600000,28600000,0.1143,69.1748,81.8493
"317",4.379e+09,4.955e+09,4.445e+09,5.126e+09,3.93e+09,1.5956e+10,1.933e+09,1.933e+09,2.18e+08,0.1176,22.8545,35.079
"318",-5e+08,1.058e+09,-4.75e+08,1.75e+08,5.42e+08,3.71e+09,-7.12e+08,-7e+08,3.5e+07,0.0451,62.6915,62.6355
"319",4.304e+09,3.827e+09,3.78e+09,5.104e+09,2.578e+09,6.791e+09,3.229e+09,3.229e+09,8.6e+07,0.2051,26.4639,78.5184
"320",1.25e+08,5.21e+08,2.11e+08,8.15e+08,2.77e+08,1.444e+09,-3.1e+07,-2.2e+07,1.1e+08,0,31.1759,90.721
"321",7.58e+08,1.377e+09,9.82e+08,1.217e+09,9.89e+08,2.37e+09,2.68e+08,2.68e+08,2.5e+07,-0.6923,33.2343,39.4345
"322",4.026e+09,3.726e+09,3.959e+09,5.13e+09,1.979e+09,7.986e+09,2.666e+09,2.666e+09,0,0.2459,47.9425,32.1422
"323",1.199e+09,1.478e+09,1.158e+09,1.397e+09,1.543e+09,3.709e+09,1.16e+08,1.16e+08,1.61e+08,0.0526,37.5545,64.5641
"324",1957800000,1767500000,1957800000,2418700000,1261500000,5974700000,1.51e+09,1556400000,0,0.2125,0,0
"325",3244609000,2393952000,3324686000,3964246000,1443010000,4295408000,2360767000,2481084000,73422000,0.0192,20.7956,36.4831
"326",3.257e+09,3.502e+09,3.21e+09,3.456e+09,2.911e+09,5.822e+09,3.047e+09,3.047e+09,3.91e+08,0.1753,22.3945,47.5319
"327",-7949700000,6.8e+08,-7828500000,-7515800000,295600000,3008800000,-6917900000,-6917900000,75700000,0.0455,47.7961,86.9269
"328",-1.152e+09,7.57e+08,2.48e+08,-6.8e+08,5.31e+08,4.121e+09,-1.514e+09,-1.444e+09,0,0,24.4709,65.2017
"329",634974000,940742000,635958000,1174754000,-853943000,1261512000,363614000,364598000,27267000,0.039,55.4038,39.8556
"330",1984226000,2186719000,1820536000,2412783000,45244000,3066566000,1151703000,1155032000,31664000,0.193,32.3558,23.7366
"331",2085500000,1722300000,1955100000,2349500000,1526600000,15290200000,1326400000,1440500000,70500000,0.0667,273.67,183.0013
"332",1.4449e+10,1.5386e+10,1.3264e+10,1.7234e+10,1.365e+10,3.1323e+10,3.587e+09,3.587e+09,1.607e+09,0.1875,4.9027,47.6002
"333",1816216000,1727555000,1815184000,2075153000,1228071000,5039966000,1324487000,1324487000,20176000,0,129.2294,10.341
"334",5.997e+09,7.669e+09,5.666e+09,9.974e+09,2.749e+09,7.95e+09,4.131e+09,4.131e+09,0,0.0131,94.1705,109.6889
"335",1308700000,1276400000,1291500000,1446700000,1122400000,2359500000,994100000,994100000,44600000,0.1196,7.9641,53.2096
"336",576300000,589300000,576300000,612600000,501400000,1572400000,4.54e+08,468100000,23700000,0.0131,0,0
"337",2997100000,2992300000,2875400000,4051200000,1.04e+09,4570700000,2195100000,2195100000,0,0.411,55.1624,188.8281
"338",-9.214e+09,4.752e+09,-9.7e+09,-6.178e+09,-1.762e+09,5.107e+09,-6.851e+09,-6.837e+09,0,-1,43.0142,101.47
"339",226006000,178895000,219889000,309822000,135632000,1199366000,200974000,200974000,36532000,0.0612,40.7606,64.2461
"340",2.331e+09,2.913e+09,2.298e+09,3.489e+09,-9.99e+08,3.456e+09,1.438e+09,1.438e+09,0,0.0465,54.622,63.0544
"341",1.067e+10,9.415e+09,1.011e+10,1.3069e+10,6.267e+09,3.528e+10,1.2515e+10,1.2559e+10,2.56e+08,0.1326,102.2391,40.3153
"342",1.1859e+10,1.5827e+10,1.1885e+10,1.8243e+10,1.3631e+10,4.2399e+10,1.1153e+10,1.1188e+10,9.49e+08,0.0625,31.8007,54.6
"343",1777200000,5156500000,1784400000,1982300000,5064200000,5921100000,1546500000,1553700000,77400000,0.123,0,36.2277
"344",1.3721e+10,1.4867e+10,1.3363e+10,1.6555e+10,1.115e+10,3.24e+10,9.75e+09,9.861e+09,3.95e+08,0.033,56.4933,25.5924
"345",3324400000,6284800000,3330100000,3586800000,6028200000,1.0258e+10,2593900000,2.621e+09,77200000,0.652,57.5994,108.4636
"346",1915636000,1596700000,1929141000,2381721000,1430914000,3564647000,1060801000,1061315000,118831000,0.062,36.5017,63.1348
"347",1347540000,1449744000,1347540000,1396969000,1390705000,2373412000,1022023000,1022023000,28290000,0.0556,12.6115,0
